사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2023-10,2호선,0215,잠실나루,27,0,"3,448","2,977","12,540","15,001","38,801","22,585","47,273","40,105","32,142","26,475","26,435","19,902","25,748","17,865","24,750","21,315","23,238","22,902","23,462","20,843","26,164","21,976","35,075","23,820","37,557","30,007","31,119","40,289","15,655","30,155","11,685","19,334","8,768","17,767","6,224","17,352","2,709","9,344",362,"2,695",0,80,0,0,0,0
2023-10,2호선,0216,잠실(송파구청),140,8,"13,365","5,001","48,170","39,948","116,139","83,888","158,707","179,032","119,243","174,688","84,977","124,427","85,763","126,666","96,121","122,961","107,164","126,675","116,076","126,483","137,567","137,303","162,284","154,636","198,250","188,352","241,674","233,728","175,552","153,589","178,360","101,391","159,972","93,625","101,625","83,993","31,611","44,648","3,928","8,907",5,190,0,0,0,0
2023-10,2호선,0217,잠실새내,44,2,"5,710",988,"17,830","8,984","57,858","16,576","79,723","28,690","53,059","31,846","36,498","24,345","34,481","27,465","36,078","32,336","35,193","35,492","30,930","37,524","34,464","42,366","37,146","51,305","40,256","65,679","43,231","86,502","32,392","60,395","28,541","37,147","27,047","33,485","26,541","30,518","15,362","16,599","2,215","4,537",0,122,0,1,0,0
2023-10,2호선,0218,종합운동장,7,0,"1,498",911,"6,364","12,387","16,590","23,287","23,023","31,780","17,102","15,004","12,442","13,217","11,352","13,386","13,881","28,526","14,399","48,496","12,593","20,232","15,435","20,965","32,069","32,533","49,036","42,079","28,474","48,837","20,874","21,484","26,025","12,061","43,650","11,292","17,442","10,159","3,031","5,852",293,"1,700",1,70,0,0,0,0
2023-10,2호선,0219,삼성(무역센터),134,1,"4,276","5,064","7,102","42,761","14,423","135,635","19,668","323,277","21,485","243,543","25,823","114,781","38,255","84,317","49,892","75,957","65,471","81,890","78,787","73,035","99,008","59,722","127,428","57,952","216,471","61,866","290,373","57,909","146,942","32,529","117,354","18,864","93,930","15,730","57,928","11,387","16,260","6,483","2,224","4,307",1,819,0,0,0,0
2023-10,2호선,0220,선릉,210,6,"4,700","6,217","11,583","42,946","21,651","112,613","34,253","257,997","34,073","211,560","38,256","103,755","47,437","65,682","57,389","60,911","67,252","68,374","76,060","55,508","96,565","49,703","121,533","48,685","193,613","55,771","276,435","57,757","139,966","36,220","87,755","22,803","83,235","20,459","68,351","17,715","24,786","10,597","3,480","4,182",3,250,0,0,0,0
2023-10,2호선,0221,역삼,66,1,"3,653","6,285","9,191","40,347","15,905","140,118","26,347","338,952","24,473","281,603","25,236","124,400","33,584","64,160","40,592","57,981","47,630","62,060","56,761","50,693","74,752","43,908","96,552","43,741","207,852","50,913","261,089","57,423","141,970","36,093","83,960","23,078","75,602","20,184","49,472","16,664","19,374","10,252","3,056","2,934",0,108,0,0,0,0
2023-10,2호선,0222,강남,146,6,"8,517","10,191","17,922","52,617","38,064","140,707","60,870","280,081","52,457","290,545","52,874","146,236","67,601","101,861","84,409","99,609","97,907","111,190","108,519","102,234","132,494","96,454","159,644","105,569","235,344","131,422","298,545","167,464","198,756","102,899","156,038","57,873","171,740","46,808","151,218","37,996","69,427","22,842","11,249","5,941",12,223,0,0,0,0
2023-10,2호선,0223,교대(법원.검찰청),19,0,"2,512","6,523","11,087","26,002","24,610","56,364","35,354","146,702","28,418","132,781","27,488","65,656","31,611","56,817","34,163","51,809","40,188","55,770","49,064","50,291","51,361","46,882","56,249","49,259","93,942","62,342","125,025","69,009","60,529","41,607","51,135","26,212","51,478","22,863","39,564","21,314","15,280","11,823","2,984","2,941",1,39,0,0,0,0
2023-10,2호선,0224,서초,9,1,"2,248","4,283","13,539","21,443","21,324","53,127","29,329","108,479","29,849","90,841","22,530","44,127","29,971","36,212","27,452","26,295","35,507","26,618","35,090","25,441","40,942","21,203","47,370","22,776","71,237","25,911","91,274","25,897","44,549","18,551","31,244","11,884","31,032","10,871","17,445","10,401","6,239","5,497",839,"1,311",1,23,0,0,0,0
2023-10,2호선,0225,방배,3,0,"2,667","2,756","9,276","11,825","22,785","26,885","31,284","71,532","26,364","53,832","20,491","32,208","21,979","27,577","24,244","28,833","27,329","27,515","29,825","26,391","33,479","25,332","39,940","25,785","48,877","32,943","61,476","36,953","28,810","26,147","23,184","17,516","22,510","16,287","18,104","15,136","7,398","9,067","1,452","2,316",3,18,0,0,0,0
2023-10,2호선,0226,사당,108,6,"12,214","4,238","27,306","40,249","73,033","51,603","98,693","71,119","76,900","53,176","50,898","46,139","47,829","56,248","53,072","57,288","56,320","54,486","61,320","54,829","64,031","64,961","67,865","86,425","80,523","124,301","97,094","166,104","70,814","117,062","67,556","72,439","70,485","67,451","64,017","63,503","36,211","39,599","5,329","10,383",9,578,0,0,0,0
2023-10,2호선,0227,낙성대(강감찬),32,0,"11,689","2,251","27,067","10,663","81,243","20,552","122,473","41,271","79,044","35,661","46,044","31,148","39,672","27,272","43,054","29,271","43,208","31,443","38,366","33,165","40,286","38,561","42,564","45,926","47,117","63,362","51,247","97,589","29,607","85,942","23,791","57,314","21,639","52,767","16,764","52,203","8,703","32,662","1,302","8,195",3,215,0,0,0,0
2023-10,2호선,0228,서울대입구(관악구청),"4,666",19,"27,767","2,739","43,879","14,357","123,368","28,433","165,376","69,635","115,704","64,100","70,600","56,693","63,054","47,302","69,165","51,184","72,492","56,715","65,267","56,683","68,874","66,775","74,921","79,463","83,306","106,986","90,654","165,069","53,489","138,940","46,239","87,397","46,196","82,919","41,090","78,729","22,397","48,668","3,383","18,596",0,"2,603",0,0,0,0
2023-10,2호선,0229,봉천,76,2,"15,977","1,844","29,041","7,433","81,020","12,579","116,194","26,090","73,880","21,129","44,414","19,335","35,059","21,982","37,415","23,601","37,200","26,190","31,409","28,995","30,172","37,588","33,554","43,180","31,263","57,658","31,996","84,800","19,163","73,384","16,019","47,119","13,742","42,703","10,334","39,645","4,918","23,998",740,"7,300",4,432,0,0,0,0
2023-10,2호선,0230,신림,291,13,"37,977","4,178","67,419","17,248","179,716","26,374","256,513","43,109","160,277","42,793","94,586","40,348","78,533","45,000","83,196","48,575","77,556","56,636","70,778","61,865","68,062","78,129","73,905","97,569","76,107","131,833","76,567","207,665","51,500","186,898","42,932","123,446","39,051","119,020","33,245","106,826","20,045","70,216","3,691","19,240",13,951,0,0,0,0
2023-10,2호선,0231,신대방,265,1,"25,193","2,157","34,405","9,841","88,149","15,396","128,937","24,905","83,193","19,311","48,915","19,250","38,964","20,017","39,857","22,935","37,686","27,070","32,487","30,737","32,546","40,841","33,689","48,668","34,590","64,720","33,453","91,773","20,559","83,144","15,996","58,010","12,687","61,759","10,347","53,714","5,005","31,365",865,"8,230",2,404,0,0,0,0
2023-10,2호선,0232,구로디지털단지,465,23,"39,446","5,363","52,903","19,549","137,534","77,729","179,261","205,675","114,579","134,302","73,411","60,010","65,500","45,395","70,115","49,299","69,972","60,299","63,755","59,192","68,174","68,050","81,328","83,322","130,182","110,770","193,444","160,915","98,153","132,764","62,665","89,109","50,940","87,537","39,422","81,120","18,475","48,623","3,076","12,987",11,474,0,0,0,0
2023-10,2호선,0233,대림(구로구청),693,37,"34,649","3,434","28,894","10,331","65,284","21,631","91,445","50,972","62,532","36,325","41,973","34,447","36,415","36,289","37,814","35,265","37,402","35,859","34,900","35,267","37,305","43,525","40,122","53,399","44,960","62,484","51,970","68,730","26,982","52,495","19,969","41,328","15,170","49,144","10,906","43,380","5,343","21,942",719,"5,445",2,297,0,0,0,0
2023-10,2호선,0234,신도림,"4,127",10,"36,181","5,055","52,497","21,141","133,937","43,626","141,702","104,586","91,809","69,093","65,517","65,681","63,568","63,730","72,465","66,110","74,269","71,548","74,039","67,494","80,317","78,645","86,660","91,319","101,175","118,631","120,653","166,487","72,733","122,239","61,636","76,661","61,342","70,434","42,112","66,539","20,971","50,883","2,354","20,664",11,"2,017",0,1,0,0
